id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
24,אָבִיב,aw-beeb',ʼâbîyb,"green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan",from an unused root (meaning to be tender);,H24,"Abib, ear, green ears of corn (not maize)."
25,אֲבִי גִבְעוֹן,ab-ee' ghib-one',ʼĂbîy Gibʻôwn,"Abi-Gibon, perhaps an Israelite",from H1 (אָב) and H1391 (גִּבְעוֹן); father (i.e. founder) of Gibon;,H25,father of Gibeon.
26,אֲבִיגַיִל,ab-ee-gah'-yil,ʼĂbîygayil,"Abigail or Abigal, the name of two Israelitesses",or shorter אֲבִיגַל; from H1 (אָב) and H1524 (גִּיל); father (i.e. source) of joy;,H26,Abigal.
27,אֲבִידָן,ab-ee-dawn',ʼĂbîydân,"Abidan, an Israelite",from H1 (אָב) and H1777 (דִּין); father of judgment (i.e. judge);,H27,Abidan.
28,אֲבִידָע,ab-ee-daw',ʼĂbîydâʻ,"Abida, a son of Abraham by Keturah",from H1 (אָב) and H3045 (יָדַע); father of knowledge (i.e. knowing);,H28,"Abida, Abidah."
29,אֲבִיָּה,ab-ee-yaw',ʼĂbîyâh,"Abijah, the name of several Israelite men and two Israelitesses",or prolonged אֲבִיָּהוּ ; from H1 (אָב) and H3050 (יָהּ); father (i.e. worshipper) of Jah;,H29,"Abiah, Abijah."
30,אֲבִיהוּא,ab-ee-hoo',ʼĂbîyhûwʼ,"Abihu, a son of Aaron",from H1 (אָב) and H1931 (הוּא); father (i.e. worshipper) of Him (i.e. God);,H30,Abihu.
31,אֲבִיהוּד,ab-ee-hood',ʼĂbîyhûwd,"Abihud, the name of two Israelites",from H1 (אָב) and H1935 (הוֹד); father (i.e. possessor) of renown;,H31,Abihud.
32,אֲבִיהַיִל,ab-ee-hah'-yil,ʼĂbîyhayil,"Abihail or Abichail, the name of three Israelites and two Israelitesses",or (more correctly) אֲבִיחַיִל ; from H1 (אָב) and H2428 (חַיִל); father (i.e. possessor) of might;,H32,Abihail.
33,אֲבִי הָעֶזְרִי,ab-ee'-haw-ez-ree',ʼĂbîy hâ-ʻEzrîy,an Abiezrite or descendant of Abiezer,from H44 (אֲבִיעֶזֶר) with the article inserted; father of the Ezrite;,H33,Abiezrite.
34,אֶבְיוֹן,eb-yone',ʼebyôwn,destitute,"from H14 (אָבָה), in the sense of want (especially in feeling);",H34,"beggar, needy, poor (man)."
35,אֲבִיּוֹנָה,ab-ee-yo-naw',ʼăbîyôwnâh,provocative of desire; the caper berry (from its stimulative taste),from H14 (אָבָה);,H35,desire.
36,אֲבִיטוּב,ab-ee-toob',ʼĂbîyṭûwb,"Abitub, an Israelite",from H1 (אָב) and H2898 (טוּב); father of goodness (i.e. good);,H36,Abitub.
37,אֲבִיטָל,ab-ee-tal',ʼĂbîyṭâl,"Abital, a wife of King David",from H1 (אָב) and H2919 (טַל); father of dew (i.e. fresh);,H37,Abital.
38,אֲבִיָּם,ab-ee-yawm',ʼĂbîyâm,"Abijam (or Abijah), a king of Judah",from H1 (אָב) and H3220 (יָם); father of (the) sea (i.e. seaman);,H38,Abijam.
39,אֲבִימָאֵל,ab-ee-maw-ale',ʼĂbîymâʼêl,"Abimael, a son of Joktan",from H1 (אָב) and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe);,H39,Abimael.
40,אֲבִימֶלֶךְ,ab-ee-mel'-ek,ʼĂbîymelek,"Abimelek, the name of two Philistine kings and of two Israelites",from H1 (אָב) and H4428 (מֶלֶךְ); father of (the) king;,H40,Abimelech.
41,אֲבִינָדָב,ab-ee-naw-dawb',ʼĂbîynâdâb,"Abinadab, the name of four Israelites",from H1 (אָב) and H5068 (נָדַב); father of generosity (i.e. liberal);,H41,Abinadab.
42,אֲבִינֹעַם,ab-ee-no'-am,ʼĂbîynôʻam,"Abinoam, an Israelite",from H1 (אָב) and H5278 (נֹעַם); father of pleasantness (i.e. gracious);,H42,Abinoam.
43,אֶבְיָסָף,eb-yaw-sawf',ʼEbyâçâph,"Ebjasaph, an Israelite",contracted from H23 (אֲבִיאָסָף);,H43,Ebiasaph.
44,אֲבִיעֶזֶר,ab-ee-ay'-zer,ʼĂbîyʻezer,"Abiezer, the name of two Israelites",from H1 (אָב) and H5829 (עֵזֶר); father of help (i.e. helpful);,H44,Abiezer.
45,אֲבִי־עַלְבוֹן,ab-ee-al-bone',ʼĂbîy-ʻalbôwn,"Abialbon, an Israelite","from H1 (אָב) and an unused root of uncertain derivation; probably, father of strength (i.e. valiant);",H45,Abialbon.
46,אָבִיר,aw-beer',ʼâbîyr,mighty (spoken of God),from H82 (אָבַר);,H46,mighty (one).
47,אַבִּיר,ab-beer',ʼabbîyr,{mighty (spoken of God)},for H46 (אָבִיר),H47,"angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant."
48,אֲבִירָם,ab-ee-rawm',ʼĂbîyrâm,"Abiram, the name of two Israelites",from H1 (אָב) and H7311 (רוּם); father of height (i.e. lofty);,H48,Abiram.
49,אֲבִישַׁג,ab-ee-shag',ʼĂbîyshag,"Abishag, a concubine of David",from H1 (אָב) and H7686 (שָׁגָה); father of error (i.e. blundering);,H49,Abishag.
50,אֲבִישׁוּעַ,ab-ee-shoo'-ah,ʼĂbîyshûwaʻ,"Abishua, the name of two Israelites",from H1 (אָב) and H7771 (שׁוֹעַ); father of plenty (i.e. prosperous);,H50,Abishua.
51,אֲבִישׁוּר,ab-ee-shoor',ʼĂbîyshûwr,"Abishur, an Israelite",from H1 (אָב) and H7791 (שׁוּר); father of (the) wall (i.e. perhaps mason);,H51,Abishur.
52,אֲבִישַׁי,ab-ee-shah'ee,ʼĂbîyshay,"Abishai, an Israelite",or (shorter) אַבְשַׁי ; from H1 (אָב) and H7862 (שַׁי); father of a gift (i.e. probably generous);,H52,Abishai.
53,אֲבִישָׁלוֹם,ab-ee-shaw-lome',ʼĂbîyshâlôwm,"Abshalom, a son of David; also (the fuller form) a later Israelite",or (shortened) אַבְשָׁלוֹם ; from H1 (אָב) and H7965 (שָׁלוֹם); father of peace (i.e. friendly);,H53,"Abishalom, Absalom."
54,אֶבְיָתָר,ab-yaw-thawr',ʼEbyâthâr,"Ebjathar, an Israelite",contracted from H1 (אָב) and H3498 (יָתַר); father of abundance (i.e. liberal);,H54,Abiathar.
55,אָבַךְ,aw-bak',ʼâbak,probably to coil upward,a primitive root;,H55,mount up.
56,אָבַל,aw-bal',ʼâbal,to bewail,a primitive root;,H56,"lament, mourn."
57,אָבֵל,aw-bale',ʼâbêl,lamenting,from H56 (אָבַל);,H57,"mourn(-er, -ing)."
58,אָבֵל,aw-bale',ʼâbêl,a meadow,from an unused root (meaning to be grassy);,H58,plain. Compare also the proper names beginning with Abel-.
59,אָבֵל,aw-bale',ʼÂbêl,"Abel, the name of two places in Palestine.",from H58 (אָבֵל); a meadow;,H59,Abel.
60,אֵבֶל,ay'-bel,ʼêbel,lamentation,from H56 (אָבַל);,H60,mourning.
61,אֲבָל,ab-awl',ʼăbâl,"nay, i.e. truly or yet",apparently from H56 (אָבַל) through the idea of negation;,H61,"but, indeed, nevertheless, verily."
62,אָבֵל בֵּית־מֲעַכָה,aw-bale' bayth ma-akaw',ʼÂbêl Bêyth-Măʻakâh,"Abel of Beth-maakah, a place in Palestine",from H58 (אָבֵל) and H1004 (בַּיִת) and H4601 (מַעֲכָה); meadow of Beth-Maakah;,H62,"Abel-beth-maachah, Abel of Beth-maachah,"
63,אָבֵל הַשִּׁטִּים,aw-bale' hash-shit-teem',ʼÂbêl hash-Shiṭṭîym,"Abel hash-Shittim, a place in Palestine","from H58 (אָבֵל) and the plural of H7848 (שִׁטָּה), with the article inserted; meadow of the acacias;",H63,Abelshittim.
64,אָבֵל כְּרָמִים,aw-bale' ker-aw-meem',ʼÂbêl Kᵉrâmîym,"Abel-Keramim, a place in Palestine",from H58 (אָבֵל) and the plural of H3754 (כֶּרֶם); meadow of vineyards;,H64,plain of the vineyards.
65,אָבֵל מְחוֹלָה,aw-bale' mekh-o-law',ʼÂbêl Mᵉchôwlâh,"Abel-Mecholah, a place in Palestine",from H58 (אָבֵל) and H4246 (מְחֹלָה)xlit mᵉchôwlâh corrected to mᵉchôlâh; meadow of dancing;,H65,Abel-meholah.
66,אַבֵל מַיִם,aw-bale' mah'-yim,ʼAbêl Mayim,"Abel-Majim, a place in Palestine",from H58 (אָבֵל) and H4325 (מַיִם); meadow of water;,H66,Abel-maim.
67,אָבֵל מִצְרַיִם,aw-bale' mits-rah'-yim,ʼÂbêl Mitsrayim,"Abel-Mitsrajim, a place in Palestine",from H58 (אָבֵל) and H4714 (מִצְרַיִם); meadow of Egypt;,H67,Abel-mizraim.
68,אֶבֶן,eh'-ben,ʼeben,a stone,from the root of H1129 (בָּנָה) through the meaning to build;,H68,"[phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s)."
69,אֶבֶן,eh'-ben,ʼeben,{a stone},(Aramaic) corresponding to H68 (אֶבֶן),H69,stone.
70,אֹבֶן,o' ben,ʼôben,a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between),from the same as H68 (אֶבֶן);,H70,"wheel, stool."
71,אֲבָנָה,ab-aw-naw',ʼĂbânâh,"Abanah, a river near Damascus",perhaps feminine of H68 (אֶבֶן); stony;  Compare H549 (אֲמָנָה).,H71,Abana.
72,אֶבֶן הָעֵזֶר,eh'-ben haw-e'-zer,ʼEben hâ-ʻÊzer,"Eben-ha-Ezer, a place in Palestine",from H68 (אֶבֶן) and H5828 (עֵזֶר) with the article inserted; stone of the help;,H72,Ebenezer.
73,אַבְנֵט,ab-nate',ʼabnêṭ,a belt,of uncertain derivation;,H73,girdle.
74,אַבְנֵר,ab-nare',ʼAbnêr,"Abner, an Israelite",or (fully) אֲבִינֵר ; from H1 (אָב) and H5216 (נִיר); father of light (i.e. enlightening);,H74,Abner.
75,אָבַס,aw-bas',ʼâbaç,to fodder,a primitive root;,H75,"fatted, stalled."
76,אֲבַעְבֻּעָה,ab-ah-boo-aw',ʼăbaʻbuʻâh,an inflammatory pustule (as eruption),(by reduplication) from an unused root (meaning to belch forth);,H76,blains.
77,אֶבֶץ,eh'-bets,ʼEbets,"Ebets, a place in Palestine",from an unused root probably meaning to gleam; conspicuous;,H77,Abez.
78,אִבְצָן,ib-tsawn',ʼIbtsân,"Ibtsan, an Israelite",from the same as H76 (אֲבַעְבֻּעָה); splendid;,H78,Ibzan.
79,אָבַק,aw-bak',ʼâbaq,"to bedust, i.e. grapple","a primitive root, probably to float away (as vapor), but used only as denominative from H80 (אָבָק);",H79,wrestle.
80,אָבָק,aw-bawk',ʼâbâq,light particles (as volatile),from root of H79 (אָבַק);,H80,"(small) dust, powder."
81,אֲבָקָה,ab-aw-kaw',ʼăbâqâh,{light particles (as volatile)},feminine of H80 (אָבָק),H81,powder.
82,אָבַר,aw-bar',ʼâbar,to soar,a primitive root;,H82,fly.
83,אֵבֶר,ay-ber',ʼêber,a pinion,from H82 (אָבַר);,H83,(long-) wing(-ed).
84,אֶבְרָה,eb-raw',ʼebrâh,{a pinion},feminine of H83 (אֵבֶר),H84,"feather, wing."
85,אַבְרָהָם,ab-raw-hawm',ʼAbrâhâm,"Abraham, the later name of Abram",contracted from H1 (אָב) and an unused root (probably meaning to be populous); father of a multitude;,H85,Abraham.
86,אַבְרֵךְ,ab-rake',ʼabrêk,kneel,probably an Egyptian word meaning,H86,bow the knee.
87,אַבְרָם,ab-rawm',ʼAbrâm,"Abram, the original name of Abraham",contracted from H48 (אֲבִירָם); high father;,H87,Abram.
88,אֹבֹת,o-both',ʼôbôth,"Oboth, a place in the Desert",plural of H178 (אוֹב); water-skins;,H88,Oboth.
89,אָגֵא,aw-gay',ʼÂgêʼ,"Age, an Israelite",of uncertain derivation (compare H90 (אֲגַג));,H89,Agee.
90,אֲגַג,ag-ag',ʼĂgag,"Agag, a title of Amalekitish kings",or אֲגָג; of uncertain derivation (compare H89 (אָגֵא)); flame;,H90,Agag.
91,אֲגָגִי,ag-aw-ghee',ʼĂgâgîy,an Agagite or descendent (subject) of Agag,patrial or patronymic from H90 (אֲגַג);,H91,Agagite.
92,אֲגֻדָּה,ag-ood-daw',ʼăguddâh,"a band, bundle, knot, or arch",feminine passive participle of an unused root (meaning to bind);,H92,"bunch, burden, troop."
93,אֱגוֹז,eg-oze',ʼĕgôwz,a nut,prob of Persian origin;,H93,nut.
94,אָגוּר,aw-goor',ʼÂgûwr,"Agur, a fanciful name for Solomon",passive participle of H103 (אָגַר); gathered (i.e. received among the sages);,H94,Agur.
95,אֲגוֹרָה,ag-o-raw',ʼăgôwrâh,"properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin",from the same as H94 (אָגוּר);,H95,piece (of) silver.
96,אֶגֶל,eh'-ghel,ʼegel,a reservoir,from an unused root (meaning to flow down or together as drops);,H96,drop.
97,אֶגְלַיִם,eg-lah'-yim,ʼEglayim,"Eglajim, a place in Moab",dual of H96 (אֶגֶל).; a double pond;,H97,Eglaim.
98,אֲגַם,ag-am',ʼăgam,a marsh; hence a rush (as growing in swamps); hence a stockade of reeds,from an unused root (meaning to collect as water);,H98,"pond, pool, standing (water)."
99,אָגֵם,aw-game',ʼâgêm,"figuratively, sad",probably from the same as H98 (אֲגַם) (in the sense of stagnant water);,H99,pond.
100,אַגְמוֹן,ag-mone',ʼagmôwn,a bulrush (as growing there); collectively a rope of bulrushes,"from the same as H98 (אֲגַם); a marshy pool (others from a different root, a kettle); by implication",H100,"bulrush, caldron, hook, rush."
101,אַגָּן,ag-gawn',ʼaggân,a bowl (as pounded out hollow),probably from H5059 (נָגַן);,H101,"basin, cup, goblet."
102,אַגָּף,ag-gawf',ʼaggâph,"(only plural) wings of an army, or crowds of troops",probably from H5062 (נָגַף) (through the idea of impending); a cover or heap; i.e.,H102,bands.
103,אָגַר,aw-gar',ʼâgar,to harvest,a primitive root;,H103,gather.
104,אִגְּרָא,ig-er-aw',ʼiggᵉrâʼ,an epistle (as carried by a state courier or postman),(Aramaic) of Persian origin;,H104,letter.
105,אֲגַרְטָל,ag-ar-tawl',ʼăgarṭâl,a basin,of uncertain derivation;,H105,charger.
106,אֶגְרֹף,eg-rofe',ʼegrôph,the clenched hand,from H1640 (גָּרַף) (in the sense of grasping);,H106,fist.
107,אִגֶּרֶת,ig-eh'-reth,ʼiggereth,an epistle,feminine of H104 (אִגְּרָא);,H107,letter.
108,אֵד,ade,ʼêd,a fog,from the same as H181 (אוּד) (in the sense of enveloping);,H108,"mist, vapor."
109,אָדַב,aw-dab',ʼâdab,to languish,a primitive root;,H109,grieve.
110,אַדְבְּאֵל,ad-beh-ale',ʼAdbᵉʼêl,"Adbeel, a son of Ishmael",probably from H109 (אָדַב) (in the sense of chastisement) and H410 (אֵל); disciplined of God;,H110,Adbeel.
111,אֲדַד,ad-ad',ʼĂdad,"Adad (or Hadad), an Edomite",probably an orthographical variation for H2301 (חֲדַד);,H111,Hadad.
112,אִדּוֹ,id-do,ʼIddôw,"Iddo, an Israelite",of uncertain derivation;,H112,Iddo.
113,אָדוֹן,aw-done',ʼâdôwn,"sovereign, i.e. controller (human or divine)",or (shortened) אָדֹן; from an unused root (meaning to rule);,H113,"lord, master, owner. Compare also names beginning with 'Adoni-'."
114,אַדּוֹן,ad-done',ʼAddôwn,"Addon, apparently an Israelite",probably intensive for H113 (אָדוֹן); powerful;,H114,Addon.
115,אֲדוֹרַיִם,ad-o-rah'-yim,ʼĂdôwrayim,"Adorajim, a place in Palestine",dual from H142 (אָדַר) (in the sense of eminence); double mound;,H115,Adoraim.
116,אֱדַיִן,ed-ah'-yin,ʼĕdayin,then (of time),(Aramaic) of uncertain derivation;,H116,"now, that time, then."
117,אַדִּיר,ad-deer',ʼaddîyr,"wide or (generally) large; figuratively, powerful",from H142 (אָדַר);,H117,"excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy."
118,אֲדַלְיָא,ad-al-yaw',ʼĂdalyâʼ,"Adalja, a son of Haman",of Persian derivation;,H118,Adalia.
119,אָדַם,aw-dam',ʼâdam,flush or turn rosy,"to show blood (in the face), i.e.",H119,"be (dyed, made) red (ruddy)."
120,אָדָם,aw-dawm',ʼâdâm,"ruddy i.e. a human being (an individual or the species, mankind, etc.)",from H119 (אָדַם);,H120,"[idiom] another, [phrase] hypocrite, [phrase] common sort, [idiom] low, man (mean, of low degree), person."
121,אָדָם,aw-dawm',ʼÂdâm,"Adam the name of the first man, also of a place in Palestine",the same as H120 (אָדָם);,H121,Adam.
122,אָדֹם,aw-dome',ʼâdôm,rosy,from H119 (אָדַם);,H122,"red, ruddy."
123,אֱדֹם,ed-ome',ʼĔdôm,"Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him",or (fully) אֱדוֹם ; from H122 (אָדֹם); red (see Genesis 25:25);,H123,"Edom, Edomites, Idumea."
124,אֹדֶם,o'-dem,ʼôdem,"redness, i.e. the ruby, garnet, or some other red gem",from H119 (אָדַם);,H124,sardius.
125,אֲדַמְדָּם,ad-am-dawm',ʼădamdâm,reddish,reduplicated from H119 (אָדַם);,H125,(somewhat) reddish.
126,אַדְמָה,ad-maw',ʼAdmâh,"Admah, a place near the Dead Sea",contracted for H127 (אֲדָמָה); earthy;,H126,Admah.
127,אֲדָמָה,ad-aw-maw',ʼădâmâh,soil (from its general redness),from H119 (אָדַם);,H127,"country, earth, ground, husband(-man) (-ry), land."
128,אֲדָמָה,ad-aw-maw',ʼĂdâmâh,"Adamah, a place in Palestine",the same as H127 (אֲדָמָה);,H128,Adamah.
129,אֲדָמִי,ad-aw-mee',ʼĂdâmîy,"Adami, a place in Palestine",from H127 (אֲדָמָה); earthy;,H129,Adami.
130,אֱדֹמִי,ed-o-mee',ʼĔdômîy,"an Edomite, or descendants from (or inhabitants of) Edom",or (fully) אֱדוֹמִי ; patronymic from H123 (אֱדֹם); See H726 (אֲרוֹמִי).,H130,Edomite. 
131,אֲדֻמִּים,ad-oom-meem',ʼĂdummîym,"Adummim, a pass in Palestine",plural of H121 (אָדָם); red spots;,H131,Adummim.
132,אַדְמֹנִי,ad-mo-nee',ʼadmônîy,reddish (of the hair or the complexion),or (fully) אַדְמוֹנִי ; from H119 (אָדַם);,H132,"red, ruddy."
133,אַדְמָתָא,ad-maw-thaw',ʼAdmâthâʼ,"Admatha, a Persian nobleman",probably of Persian derivation;,H133,Admatha.
134,אֶדֶן,eh'-den,ʼeden,"a basis (of a building, a column, etc.)",from the same as H113 (אָדוֹן) (in the sense of strength);,H134,"foundation, socket."
135,אַדָּן,ad-dawn',ʼAddân,"Addan, an Israelite",intensive from the same as H134 (אֶדֶן); firm;,H135,Addan.
136,אֲדֹנָי,ad-o-noy',ʼĂdônây,the Lord (used as a proper name of God only),an emphatic form of H113 (אָדוֹן);,H136,(my) Lord.
137,אֲדֹנִי־בֶזֶק,ad-o''-nee-beh'-zek,ʼĂdônîy-Bezeq,Adoni-Bezek; a Canaanitish king,from H113 (אָדוֹן) and H966 (בֶּזֶק); lord of Bezek;,H137,Adonibezek.
138,אֲדֹנִיָּה,ad-o-nee-yaw',ʼĂdônîyâh,"Adonijah, the name of three Israelites",original (prolonged) אֲדֹנִיָּהוּ ; from H113 (אָדוֹן) and H3050 (יָהּ); lord (i.e. worshipper) of Jah;,H138,Adonijah.
139,אֲדֹנִי־צֶדֶק,ad-o''-nee-tseh'-dek,ʼĂdônîy-Tsedeq,"Adoni-Tsedek, a Canaanitish king",from H113 (אָדוֹן) and H6664 (צֶדֶק); lord of justice;,H139,Adonizedec.
140,אֲדֹנִיקָם,ad-o-nee-kawm',ʼĂdônîyqâm,"Adonikam, the name of one or two Israelites",from H113 (אָדוֹן) and H6965 (קוּם); lord of rising (i.e. high);,H140,Adonikam.
141,אֲדֹנִירָם,ad-o-nee-rawm',ʼĂdônîyrâm,"Adoniram, an Israelite",from H113 (אָדוֹן) and H7311 (רוּם); lord of height;,H141,Adoniram.
142,אָדַר,aw-dar',ʼâdar,"to expand, i.e. be great or (figuratively) magnificent",a primitive root;,H142,"(become) glorious, honourable."
143,אֲדָר,ad-awr',ʼĂdâr,"Adar, the 12th Hebrew month",probably of foreign derivation; perhaps meaning fire;,H143,Adar.
144,אֲדָר,ad-awr',ʼĂdâr,"{Adar, the 12th Hebrew month}",(Aramaic) corresponding to H143 (אֲדָר),H144,Adar.
145,אֶדֶר,eh'-der,ʼeder,"amplitude, i.e. (concrete) a mantle; also (figuratively) splendor",from H142 (אָדַר);,H145,"goodly, robe."
146,אַדָּר,ad-dawr',ʼAddâr,"Addar, a place in Palestine; also an Israelite",intensive from H142 (אָדַר); ample;,H146,Addar.
147,אִדַּר,id-dar',ʼiddar,"ample, i.e. a threshing-floor","(Aramaic) intensive, from a root corresponding to H142 (אָדַר);",H147,threshingfloor.
148,אֲדַרְגָּזֵר,ad-ar''-gaw-zare',ʼădargâzêr,"a chief diviner, or astrologer","(Aramaic) from the same as H147 (אִדַּר), and H1505 (גְּזַר);",H148,judge.
149,אַדְרַזְדָּא,ad-raz-daw',ʼadrazdâʼ,quickly or carefully,(Aramaic) probably of Persian origin;,H149,diligently.
150,אֲדַרְכֹּן,ad-ar-kone',ʼădarkôn,a daric or Persian coin,of Persian origin;,H150,dram.
151,אֲדֹרָם,ad-o-rawm',ʼĂdôrâm,"Adoram (or Adoniram), an Israelite",contracted for H141 (אֲדֹנִירָם);,H151,Adoram.
152,אֲדְרַמֶּלֶךְ,ad-ram-meh'-lek,ʼĂdrammelek,"Adrammelek, the name of an Assyrian idol, also of a son of Sennacherib",from H142 (אָדַר) and H4428 (מֶלֶךְ); splendor of (the) king;,H152,Adrammelech.
153,אֶדְרָע,ed-raw',ʼedrâʻ,"an arm, i.e. (figuratively) power",(Aramaic) an orthographical variation for H1872 (דְּרַע);,H153,force.
154,אֶדְרֶעִי,ed-reh'-ee,ʼedreʻîy,"Edrei, the name of two places in Palestine",from the equivalent of H153 (אֶדְרָע); mighty;,H154,Edrei.
155,אַדֶּרֶת,ad-deh'-reth,ʼaddereth,"something ample (as a large vine, a wide dress)",feminine of H117 (אַדִּיר); ; also the same as H145 (אֶדֶר),H155,"garment, glory, goodly, mantle, robe."
156,אָדַשׁ,aw-dash',ʼâdash,to tread out (grain),a primitive root;,H156,thresh.
157,אָהַב,aw-hab',ʼâhab,to have affection for (sexually or otherwise),or אָהֵב ; a primitive root;,H157,"(be-) love(-d, -ly, -r), like, friend."
158,אַהַב,ah'-hab,ʼahab,affection (in a good or a bad sense),from H157 (אָהַב);,H158,love(-r).
159,אֹהַב,o'-hab,ʼôhab,{affection (in a good or a bad sense)},from H156 (אָדַשׁ); meaning the same as H158 (אַהַב),H159,love.
160,אַהֲבָה,a-hab-aw,ʼahăbâh,{affection (in a good or a bad sense)},feminine of H158 (אַהַב) and meaning the same,H160,love.
161,אֹהַד,o'-had,ʼÔhad,"Ohad, an Israelite",from an unused root meaning to be united; unity;,H161,Ohad.
162,אֲהָהּ,a-haw',ʼăhâhh,Oh!,apparently a primitive word expressing pain exclamatorily;,H162,"ah, alas."
163,אַהֲוָא,a-hav-aw',ʼAhăvâʼ,"Ahava, a river of Babylonia",probably of foreign origin;,H163,Ahava.
164,אֵהוּד,ay-hood',ʼÊhûwd,"Ehud, the name of two or three Israelites",from the same as H161 (אֹהַד); united;,H164,Ehud.
165,אֱהִי,e-hee',ʼĕhîy,where,apparently an orthographical variation for H346 (אַיֵּה);,H165,"I will be (Hosea 13:10,14) (which is often the rendering of the same Hebrew form from H1961 (הָיָה))."
166,אָהַל,aw-hal',ʼâhal,to be clear,a primitive root;,H166,shine.
167,אָהַל,aw-hal',ʼâhal,to tent,a denominative from H168 (אֹהֶל);,H167,pitch (remove) a tent.
168,אֹהֶל,o'-hel,ʼôhel,a tent (as clearly conspicuous from a distance),from H166 (אָהַל);,H168,"covering, (dwelling) (place), home, tabernacle, tent."
169,אֹהֶל,o'-hel,ʼÔhel,"Ohel, an Israelite",the same as H168 (אֹהֶל);,H169,Ohel.
170,אׇהֳלָה,o-hol-aw',ʼOhŏlâh,"Oholah, a symbolic name for Samaria","in form a feminine of H168 (אֹהֶל), but in fact for אׇהֳלָהּ; from H168 (אֹהֶל); her tent (i.e. idolatrous sanctuary);",H170,Aholah.
