id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
48,hag-nid'-zo,ἁγνίζω,hagnízō,"[ἁγνίζω] from {{g53}}; to make clean, i.e. (figuratively) sanctify (ceremonially or morally)",g48,"purify 5, purify (one's) self 2"
49,hag-nis-mos',ἁγνισμός,hagnismós,"[ἁγνισμός] from {{g48}}; a cleansing (the act), i.e. (ceremonially) lustration",g49,purification 1
50,ag-no-eh'-o,ἀγνοέω,agnoéō,"[ἀγνοέω] from {{g1}} (as a negative particle) and {{g3539}}; not to know (through lack of information or intelligence); by implication, to ignore (through disinclination)",g50,"be ignorant 7, ignorant 4, know not 4, understand not 3, ignorantly 2, unknown 2"
51,ag-no'-ay-mah,ἀγνόημα,agnóēma,"[ἀγνόημα] from {{g50}}; a thing ignored, i.e. shortcoming",g51,error 1
52,ag'-noy-ah,ἄγνοια,ágnoia,"[ἄγνοια] from {{g50}}; ignorance (properly, the quality)",g52,ignorance 4
53,hag-nos',ἁγνός,hagnós,"[ἁγνός] from the same as {{g40}}; properly, clean, i.e. (figuratively) innocent, modest, perfect",g53,"pure 4, chaste 3, clear 1"
54,hag-not'-ace,ἁγνότης,hagnótēs,"[ἁγνότης] from {{g53}}; cleanness (the state), i.e. (figuratively) blamelessness",g54,pureness 1
55,hag-noce',ἁγνῶς,hagnōs,"[ἁγνῶς] adverb from {{g53}}; purely, i.e. honestly",g55,sincerely 1
56,ag-no-see'-ah,ἀγνωσία,agnōsía,"[ἀγνωσία] from {{g1}} (as negative particle) and {{g1108}}; ignorance (properly, the state)",g56,"not the knowledge 1, ignorance 1"
57,ag'-noce-tos',ἄγνωστος,ágnōstos,[ἄγνωστος] from {{g1}} (as negative particle) and {{g1110}}; unknown,g57,unknown 1
58,ag-or-ah',ἀγορά,agorá,"[ἀγορά] from ἀγείρω (to gather; probably akin to {{g1453}}); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare",g58,"market 6, marketplace 4, street 1"
59,ag-or-ad'-zo,ἀγοράζω,agorázō,"[ἀγοράζω] from {{g58}}; properly, to go to market, i.e. (by implication) to purchase; specially, to redeem",g59,"buy 28, redeem 3"
60,ag-or-ah'-yos,ἀγοραῖος,agoraîos,"[ἀγοραῖος] from {{g58}}; relating to the market-place, i.e. forensic (times); by implication, vulgar",g60,"baser sort 1, law 1"
61,ag'-rah,ἄγρα,ágra,[ἄγρα] from {{g71}}; (abstractly) a catching (of fish); also (concretely) a haul (of fish),g61,draught 2
62,ag-ram-mat-os,ἀγράμματος,agrámmatos,"[ἀγράμματος] from {{g1}} (as negative particle) and {{g1121}}; unlettered, i.e. illiterate",g62,unlearned 1
63,ag-row-leh'-o,ἀγραυλέω,agrauléō,[ἀγραυλέω] from {{g68}} and {{g832}} (in the sense of {{g833}}); to camp out,g63,abide in the field 1
64,ag-rew'-o,ἀγρεύω,agreúō,"[ἀγρεύω] from {{g61}}; to hunt, i.e. (figuratively) to entrap",g64,catch 1
65,ag-ree-el'-ah-yos,ἀγριέλαιος,agriélaios,[ἀγριέλαιος] from {{g66}} and {{g1636}}; an oleaster,g65,"wild olive tree 1, olive tree which is wild 1"
66,ag'-ree-os,ἄγριος,ágrios,"[ἄγριος] from {{g68}}; wild (as pertaining to the country), literally (natural) or figuratively (fierce)",g66,"wild 2, raging 1"
67,ag-rip'-pas,Ἀγρίππας,Agríppas,"[Ἀγρίππας] apparently from {{g66}} and {{g2462}}; wild-horse tamer; Agrippas, one of the Herods",g67,Agrippa 12
68,ag-ros',ἀγρός,agrós,"[ἀγρός] from {{g71}}; a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet",g68,"field 22, country 8, land 4, farm 1, piece of ground 1"
69,ag-roop-neh'-o,ἀγρυπνέω,agrypnéō,"[ἀγρυπνέω] ultimately from {{g1}} (as negative particle) and {{g5258}}; to be sleepless, i.e. keep awake",g69,watch 4
70,ag-roop-nee'-ah,ἀγρυπνία,agrypnía,"[ἀγρυπνία] from {{g69}}; sleeplessness, i.e. a keeping awake",g70,watching 2
71,ag'-o,ἄγω,ágō,"[ἄγω] a primary verb; properly, to lead; by implication, to bring, drive, (reflexively) go, (specially) pass (time), or (figuratively) induce",g71,"bring 45, lead 12, go 7, bring forth 2, misc 5, vr bring 1"
72,ag-o-gay',ἀγωγή,agōgḗ,"[ἀγωγή] reduplicated from {{g71}}; a bringing up, i.e. mode of living",g72,manner of life 1
73,ag-one',ἀγών,agṓn,"[ἀγών] from {{g71}}; properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety",g73,"conflict 2, fight 2, contention 1, race 1"
74,ag-o-nee'-ah,ἀγωνία,agōnía,"[ἀγωνία] from {{g73}}; a struggle (properly, the state), i.e. (figuratively) anguish",g74,agony 1
75,ag-o-nid'-zom-ahee,ἀγωνίζομαι,agōnízomai,"[ἀγωνίζομαι] from {{g73}}; to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something)",g75,"strive 3, fight 3, labour fervently 1"
76,ad-am',Ἀδάμ,Adám,"[Ἀδάμ] of Hebrew origin ({{h121}}); Adam, the first man; typically (of Jesus) man (as his representative)",g76,Adam 9
77,ad-ap'-an-os,ἀδάπανος,adápanos,"[ἀδάπανος] from {{g1}} (as negative particle); and {{g1160}}; costless, i.e. gratuitous",g77,without charge 1
78,ad-dee',Ἀδδί,Addí,"[Ἀδδί] probably of Hebrew origin (compare {{h5716}}); Addi, an Israelite",g78,Addi 1
79,ad-el-fay',ἀδελφή,adelphḗ,[ἀδελφή] feminine of {{g80}}; a sister (naturally or ecclesiastically),g79,sister 24
80,ad-el-fos',ἀδελφός,adelphós,[ἀδελφός] from {{g1}} (as a connective particle) and δελφύς (the womb); a brother (literally or figuratively) near or remote (much like {{g1}}),g80,"brethren 226, brother 113, brother's 6, brother's way 1"
81,ad-el-fot'-ace,ἀδελφότης,adelphótēs,"[ἀδελφότης] from {{g80}}; brotherhood (properly, the feeling of brotherliness), i.e. the (Christian) fraternity",g81,"brotherhood 1, brethren 1"
82,ad'-ay-los,ἄδηλος,ádēlos,"[ἄδηλος] from {{g1}} (as a negative particle) and {{g1212}}; hidden, figuratively, indistinct",g82,"appear not 1, uncertain 1"
83,ad-ay-lot'-ace,ἀδηλότης,adēlótēs,[ἀδηλότης] from {{g82}}; uncertainty,g83,uncertain 1
84,ad-ay'-loce,ἀδήλως,adḗlōs,[ἀδήλως] adverb from {{g82}}; uncertainly,g84,uncertainly 1
85,ad-ay-mon-eh'-o,ἀδημονέω,adēmonéō,[ἀδημονέω] from a derivative of ἀδέω (to be sated to loathing); to be in distress (of mind),g85,"be very heavy 2, be full of heaviness 1"
86,hah'-dace,ᾅδης,háidēs,"""[ᾅδης] from {{g1}} (as negative particle) and {{g1492}}; properly, unseen, i.e. ""Hades"" or the place (state) of departed souls"",g86,""hell 10, grave 1",NULL,
87,ad-ee-ak'-ree-tos,ἀδιάκριτος,adiákritos,"[ἀδιάκριτος] from {{g1}} (as a negative particle) and a derivative of {{g1252}}; properly, undistinguished, i.e. (actively) impartial",g87,without partiality 1
88,ad-ee-al'-ipe-tos,ἀδιάλειπτος,adiáleiptos,"[ἀδιάλειπτος] from {{g1}} (as a negative particle) and a derivative of a compound of {{g1223}} and {{g3007}}; unintermitted, i.e. permanent",g88,"continual 1, without ceasing 1"
89,ad-ee-al-ipe'-toce,ἀδιαλείπτως,adialeíptōs,"[ἀδιαλείπτως] adverb from {{g88}}; uninterruptedly, i.e. without omission (on an appropriate occasion)",g89,without ceasing 4
90,ad-ee-af-thor-ee'-ah,ἀδιαφθορία,adiaphthoría,"[ἀδιαφθορία] from a derivative of a compound of {{g1}} (as a negative particle) and a derivative of {{g1311}}; incorruptibleness, i.e. (figuratively) purity (of doctrine)",g90,uncorruptness 1
91,ad-ee-keh'-o,ἀδικέω,adikéō,"[ἀδικέω] from {{g94}}; to be unjust, i.e. (actively) do wrong (morally, socially or physically)",g91,"hurt 10, do wrong 8, wrong 2, suffer wrong 2, be unjust 2, take wrong 1, injure 1, be an offender 1, vr hope"
92,ad-eek'-ay-mah,ἀδίκημα,adíkēma,[ἀδίκημα] from {{g91}}; a wrong done,g92,"matter of wrong 1, evil doing 1, iniquity 1"
93,ad-ee-kee'-ah,ἀδικία,adikía,"[ἀδικία] from {{g94}}; (legal) injustice (properly, the quality, by implication, the act); morally, wrongfulness (of character, life or act)",g93,"unrighteousness 16, iniquity 6, unjust 2, wrong 1"
94,ad'-ee-kos,ἄδικος,ádikos,"[ἄδικος] from {{g1}} (as a negative particle) and {{g1349}}; unjust; by extension wicked; by implication, treacherous; specially, heathen",g94,"unjust 8, unrighteous 4"
95,ad-ee'-koce,ἀδίκως,adíkōs,[ἀδίκως] adverb from {{g94}}; unjustly,g95,wrongfully 1
96,ad-ok'-ee-mos,ἀδόκιμος,adókimos,"[ἀδόκιμος] from {{g1}} (as a negative particle) and {{g1384}}; unapproved, i.e. rejected; by implication, worthless (literally or morally)",g96,"reprobate 6, castaway 1, rejected 1"
97,ad'-ol-os,ἄδολος,ádolos,"[ἄδολος] from {{g1}} (as a negative particle); and {{g1388}}; undeceitful, i.e. (figuratively) unadulterated",g97,sincere 1
98,ad-ram-oot-tay-nos',Ἀδραμυττηνός,Adramyttēnós,[Ἀδραμυττηνός] from Ἀδραμύττειον (a place in Asia Minor); Adramyttene or belonging to Adramyttium,g98,Adramyttium 1
99,ad-ree'-as,Ἀδρίας,Adrías,[Ἀδρίας] from Ἀδρία (a place near its shore); the Adriatic sea (including the Ionian),g99,Adria 1
100,had-rot'-ace,ἁδρότης,hadrótēs,"[ἁδρότης] from ἁδρός (stout); plumpness, i.e. (figuratively) liberality",g100,abundance 1
101,ad-oo-nat-eh'-o,ἀδυνατέω,adynatéō,"[ἀδυνατέω] from {{g102}}; to be unable, i.e. (passively) impossible",g101,be impossible 2
102,ad-oo'-nat-os,ἀδύνατος,adýnatos,"[ἀδύνατος] from {{g1}} (as a negative particle) and {{g1415}}; unable, i.e. weak (literally or figuratively); passively, impossible",g102,"impossible 6, impotent 1, could not do 1, weak 1, not possible 1"
103,ad'-o,ᾄδω,áidō,[ᾄδω] a primary verb; to sing,g103,sing 5
104,ah-eye',ἀεί,aeí,"""[ἀεί] from an obsolete primary noun (apparently meaning continued duration); ""ever,"" by qualification regularly; by implication, earnestly"",g104,""alway 4, always 3, ever 1",NULL,
105,ah-et-os',ἀετός,aetós,[ἀετός] from the same as {{g109}}; an eagle (from its wind-like flight),g105,eagle 4
106,ad'-zoo-mos,ἄζυμος,ázymos,"[ἄζυμος] from {{g1}} (as a negative particle) and {{g2219}}; unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week",g106,"unleavened bread 8, unleavened 1"
107,ad-zore',Ἀζώρ,Azṓr,"[Ἀζώρ] of Hebrew origin (compare {{h5809}}); Azor, an Israelite",g107,Azor 2
108,ad'-zo-tos,Ἄζωτος,Ázōtos,"[Ἄζωτος] of Hebrew origin ({{h795}}); Azotus (i.e. Ashdod), a place in Palestine",g108,Azotus 1
109,ah-ayr',ἀήρ,aḗr,"""[ἀήρ] from ἄημι (to breathe unconsciously, i.e. respire; by analogy, to blow); ""air"" (as naturally circumambient) Compare {{g5594}}."",g109,""air 7",NULL,
110,ath-an-as-ee'-ah,ἀθανασία,athanasía,[ἀθανασία] from a compound of {{g1}} (as a negative particle) and {{g2288}}; deathlessness,g110,immortality 3
111,ath-em'-ee-tos,ἀθέμιτος,athémitos,"[ἀθέμιτος] from {{g1}} (as a negative particle) and a derivative of θέμις (statute; from the base of {{g5087}}); illegal; by implication, flagitious",g111,"unlawful thing 1, abominable 1"
112,ath'-eh-os,ἄθεος,átheos,[ἄθεος] from {{g1}} (as a negative particle) and {{g2316}}; godless,g112,without God 1
113,ath'-es-mos,ἄθεσμος,áthesmos,"[ἄθεσμος] from {{g1}} (as a negative particle) and a derivative of {{g5087}} (in the sense of enacting); lawless, i.e. (by implication) criminal",g113,wicked 2
114,ath-et-eh'-o,ἀθετέω,athetéō,"[ἀθετέω] from a compound of {{g1}} (as a negative particle) and a derivative of {{g5087}}; to set aside, i.e. (by implication) to disesteem, neutralize or violate",g114,"despise 8, reject 4, bring to nothing 1, frustrate 1, disannul 1, cast off 1"
115,ath-et'-ay-sis,ἀθέτησις,athétēsis,[ἀθέτησις] from {{g114}}; cancellation (literally or figuratively),g115,"disannulling 1, to put away + \\1519\\ 1"
116,ath-ay-nahee,Ἀθῆναι,Athēnai,"[Ἀθῆναι] plural of Ἀθήνη (the goddess of wisdom, who was reputed to have founded the city); Athenæ, the capitol of Greece",g116,Athens 6
117,ath-ay-nah'-yos,Ἀθηναῖος,Athēnaîos,[Ἀθηναῖος] from {{g116}}; an Athenæan or inhabitant of Athenæ,g117,"Athenians 1, of Athens 1"
118,ath-leh'-o,ἀθλέω,athléō,[ἀθλέω] from ἄθλος (a contest in the public lists); to contend in the competitive games,g118,strive 2
119,ath'-lay-sis,ἄθλησις,áthlēsis,[ἄθλησις] from {{g118}}; a struggle (figuratively),g119,fight 1
120,ath-oo-meh'-o,ἀθυμέω,athyméō,"[ἀθυμέω] from a compound of {{g1}} (as a negative particle) and {{g2372}}; to be spiritless, i.e. disheartened",g120,be discouraged 1
121,ath'-o-os,ἄθωος,áthōos,[ἄθωος] from {{g1}} (as a negative particle) and probably a derivative of {{g5087}} (meaning a penalty); not guilty,g121,innocent 2
122,ah'-ee-ghi-os,αἴγειος,aígeios,[αἴγειος] from αἴξ (a goat); belonging to a goat,g122,goatskin + \\1192\\ 1
123,ahee-ghee-al-os',αἰγιαλός,aigialós,[αἰγιαλός] from aisso (to rush) and {{g251}} (in the sense of the sea); a beach (on which the waves dash),g123,shore 6
124,ahee-goop'-tee-os,Αἰγύπτιος,Aigýptios,[Αἰγύπτιος] from {{g125}}; an Ægyptian or inhabitant of Ægyptus,g124,"Egyptian 3, Egyptians 2"
125,ah'-ee-goop-tos,Αἴγυπτος,Aígyptos,"[Αἴγυπτος] of uncertain derivation; Ægyptus, the land of the Nile",g125,Egypt 24
126,ah-id'-ee-os,ἀΐδιος,aḯdios,"[ἀΐδιος] from {{g104}}; everduring (forward and backward, or forward only)",g126,"eternal 1, everlasting 1"
127,ahee-doce',αἰδώς,aidṓs,"[αἰδώς] perhaps from {{g1}} (as a negative particle) and {{g1492}} (through the idea of downcast eyes); bashfulness, i.e. (towards men), modesty or (towards God) awe",g127,"shamefacedness 1, reverence 1"
128,ahee-thee'-ops,Αἰθίοψ,Aithíops,"[Αἰθίοψ] from αἴθω (to scorch) and ὤψ (the face, from {{g3700}}); an Æthiopian (as a blackamoor)",g128,Ethiopian 2
129,hah'-ee-mah,αἷμα,haîma,"[αἷμα] of uncertain derivation; blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred",g129,blood 99
130,hahee-mat-ek-khoo-see'-ah,αἱματεκχυσία,haimatekchysía,[αἱματεκχυσία] from {{g129}} and a derivative of {{g1632}}; an effusion of blood,g130,shedding of blood 1
131,hahee-mor-hreh'-o,αἱμοῤῥέω,haimorrhéō,"[αἱμοῤῥέω] from {{g129}} and {{g4482}}; to flow blood, i.e. have a hæmorrhage",g131,diseased with an issue of blood 1
132,ahee-neh'-as,Αἰνέας,Ainéas,"[Αἰνέας] of uncertain derivation; Ænĕas, an Israelite",g132,Aeneas 2
133,ah'-ee-nes-is,αἴνεσις,aínesis,"[αἴνεσις] from {{g134}}; a praising (the act), i.e. (specially) a thank(-offering)",g133,praise 1
134,ahee-neh'-o,αἰνέω,ainéō,[αἰνέω] from {{g136}}; to praise (God),g134,praise 9
135,ah'-ee-nig-ma,αἴνιγμα,aínigma,"""[αἴνιγμα] from a derivative of {{g136}} (in its primary sense); an obscure saying (""enigma""), i.e. (abstractly) obscureness"",g135,""darkly + \\1722\\ 1",NULL,
136,ah'-ee-nos,αἶνος,aînos,"[αἶνος] apparently a prime word; properly, a story, but used in the sense of {{g1868}}; praise (of God)",g136,praise 2
137,ahee-nohn',Αἰνών,Ainṓn,"[Αἰνών] of Hebrew origin (a derivative of {{h5869}}, place of springs); Ænon, a place in Palestine",g137,Aenon 1
138,hahee-reh'-om-ahee,αἱρέομαι,hairéomai,"[αἱρέομαι] probably akin to {{g142}}; to take for oneself, i.e. to prefer Some of the forms are borrowed from a cognate ἕλλομαι; which is otherwise obsolete.",g138,choose 3
139,hah'-ee-res-is,αἵρεσις,haíresis,"[αἵρεσις] from {{g138}}; properly, a choice, i.e. (specially) a party or (abstractly) disunion",g139,"sect 5, heresy 4"
140,hahee-ret-id'-zo,αἱρετίζω,hairetízō,[αἱρετίζω] from a derivative of {{g138}}; to make a choice,g140,choose 1
141,hahee-ret-ee-kos',αἱρετικός,hairetikós,[αἱρετικός] from the same as {{g140}}; a schismatic,g141,that is a heretic 1
142,ah'-ee-ro,αἴρω,aírō,"[αἴρω] a primary root; to lift up; by implication, to take up or away; figuratively, to raise (the voice), keep in suspense (the mind), specially, to sail away (i.e. weigh anchor); by Hebraism (compare {{h5375}}) to expiate sin",g142,"take up 32, take away 25, take 25, away with 5, lift up 4, bear 3, misc 8"
143,ahee-sthan'-om-ahee,αἰσθάνομαι,aisthánomai,"[αἰσθάνομαι] of uncertain derivation; to apprehend (properly, by the senses)",g143,perceive 1
144,ah'-ee-sthay-sis,αἴσθησις,aísthēsis,"[αἴσθησις] from {{g143}}; perception, i.e. (figuratively) discernment",g144,judgment 1
145,ahee-sthay-tay'-ree-on,αἰσθητήριον,aisthētḗrion,"[αἰσθητήριον] from a derivative of {{g143}}; properly, an organ of perception, i.e. (figuratively) judgment",g145,senses 1
146,ahee-skhrok-er-dace',αἰσχροκερδής,aischrokerdḗs,[αἰσχροκερδής] from {{g150}} and κέρδος (gain); sordid,g146,"greedy of filthy lucre 2, given to filthy lucre 1"
147,ahee-skhrok-er-doce',αἰσχροκερδῶς,aischrokerdōs,[αἰσχροκερδῶς] adverb from {{g146}}; sordidly,g147,for filthy lucre 1
148,ahee-skhrol-og-ee'-ah,αἰσχρολογία,aischrología,[αἰσχρολογία] from {{g150}} and {{g3056}}; vile conversation,g148,filthy communication 1
149,ahee-skhron',αἰσχρόν,aischrón,"[αἰσχρόν] neuter of {{g150}}; a shameful thing, i.e. indecorum",g149,shame 3
150,ahee-skhros',αἰσχρός,aischrós,"[αἰσχρός] from the same as {{g153}}; shameful, i.e. base (specially, venal)",g150,filthy 1
151,ahee-skhrot'-ace,αἰσχρότης,aischrótēs,"[αἰσχρότης] from {{g150}}; shamefulness, i.e. obscenity",g151,filthiness 1
152,ahee-skhoo'-nay,αἰσχύνη,aischýnē,[αἰσχύνη] from {{g153}}; shame or disgrace (abstractly or concretely),g152,"shame 5, dishonesty 1"
153,ahee-skhoo'-nom-ahee,αἰσχύνομαι,aischýnomai,"[αἰσχύνομαι] from αἶσχος (disfigurement, i.e. disgrace); to feel shame (for oneself)",g153,be ashamed 5
154,ahee-teh'-o,αἰτέω,aitéō,[αἰτέω] of uncertain derivation; to ask (in genitive case) Compare {{g4441}}.,g154,"ask 48, desire 17, beg 2, require 2, crave 1, call for 1"
155,ah'-ee-tay-mah,αἴτημα,aítēma,[αἴτημα] from {{g154}}; a thing asked or (abstractly) an asking,g155,"require 1, request 1, petition 1"
